year,state,month,number,date,Random
2010,Minas Gerais,Junho,139,1/1/2010,93
2011,Minas Gerais,Junho,304,1/1/2011,35
2012,Minas Gerais,Junho,219,1/1/2012,15
2013,Minas Gerais,Junho,144,1/1/2013,77
2014,Minas Gerais,Junho,376,1/1/2014,6
2015,Minas Gerais,Junho,200,1/1/2015,22
2016,Minas Gerais,Junho,263,1/1/2016,42
2017,Minas Gerais,Junho,360,1/1/2017,58
1998,Minas Gerais,Julho,232,1/1/1998,22
1999,Minas Gerais,Julho,318,1/1/1999,98
2000,Minas Gerais,Julho,345,1/1/2000,86
2001,Minas Gerais,Julho,266,1/1/2001,93
2002,Minas Gerais,Julho,741,1/1/2002,43
2003,Minas Gerais,Julho,407,1/1/2003,43
2004,Minas Gerais,Julho,625,1/1/2004,14
2005,Minas Gerais,Julho,467,1/1/2005,37
2006,Minas Gerais,Julho,336,1/1/2006,28
2007,Minas Gerais,Julho,446,1/1/2007,94
2008,Minas Gerais,Julho,,1/1/2008,11
2009,Minas Gerais,Julho,477,1/1/2009,97
2010,Minas Gerais,Julho,707,1/1/2010,12
2011,Minas Gerais,Julho,801,1/1/2011,48
2012,Minas Gerais,Julho,669,1/1/2012,81
2013,Minas Gerais,Julho,462,1/1/2013,9
2014,Minas Gerais,Julho,559,1/1/2014,16
2015,Minas Gerais,Julho,288,1/1/2015,76
2016,Minas Gerais,Julho,1.004,1/1/2016,85
2017,Minas Gerais,Julho,610,1/1/2017,67
1998,Minas Gerais,Agosto,875,1/1/1998,95
1999,Minas Gerais,Agosto,,1/1/1999,11
2000,Minas Gerais,Agosto,769,1/1/2000,96
2001,Minas Gerais,Agosto,858,1/1/2001,48
2002,Minas Gerais,Agosto,2.041,1/1/2002,58
2003,Minas Gerais,Agosto,1.955,1/1/2003,49
2004,Minas Gerais,Agosto,1.642,1/1/2004,84
2005,Minas Gerais,Agosto,1.029,1/1/2005,87
2006,Minas Gerais,Agosto,959,1/1/2006,10
2007,Minas Gerais,Agosto,2.975,1/1/2007,9
2008,Minas Gerais,Agosto,605,1/1/2008,43
2009,Minas Gerais,Agosto,685,1/1/2009,62
2010,Minas Gerais,Agosto,3.353,1/1/2010,50
2011,Minas Gerais,Agosto,2.742,1/1/2011,75
2012,Minas Gerais,Agosto,901,1/1/2012,60
2013,Minas Gerais,Agosto,911,1/1/2013,87
2014,Minas Gerais,Agosto,1.952,1/1/2014,93
2015,Minas Gerais,Agosto,1.059,1/1/2015,44
2016,Minas Gerais,Agosto,1.433,1/1/2016,69
2017,Minas Gerais,Agosto,2.142,1/1/2017,90
1998,Minas Gerais,Setembro,1.981,1/1/1998,19
1999,Minas Gerais,Setembro,,1/1/1999,5
2000,Minas Gerais,Setembro,1.08,1/1/2000,99
2001,Minas Gerais,Setembro,1.597,1/1/2001,28
2002,Minas Gerais,Setembro,3.1,1/1/2002,62
2003,Minas Gerais,Setembro,7.091,1/1/2003,30
2004,Minas Gerais,Setembro,4.339,1/1/2004,14
2005,Minas Gerais,Setembro,,1/1/2005,5
2006,Minas Gerais,Setembro,2.78,1/1/2006,7
2007,Minas Gerais,Setembro,5.088,1/1/2007,21
2008,Minas Gerais,Setembro,2.552,1/1/2008,93
2009,Minas Gerais,Setembro,1.31,1/1/2009,40
2010,Minas Gerais,Setembro,,1/1/2010,11
2011,Minas Gerais,Setembro,5.978,1/1/2011,83
2012,Minas Gerais,Setembro,3.219,1/1/2012,29
2013,Minas Gerais,Setembro,1.656,1/1/2013,93
2014,Minas Gerais,Setembro,3.454,1/1/2014,82
2015,Minas Gerais,Setembro,3.088,1/1/2015,71
2016,Minas Gerais,Setembro,2.093,1/1/2016,43
2017,Minas Gerais,Setembro,4.697,1/1/2017,65
1998,Minas Gerais,Outubro,1.093,1/1/1998,8
1999,Minas Gerais,Outubro,1.363,1/1/1999,27
2000,Minas Gerais,Outubro,1.954,1/1/2000,39
2001,Minas Gerais,Outubro,528,1/1/2001,56
2002,Minas Gerais,Outubro,4.788,1/1/2002,39
2003,Minas Gerais,Outubro,5.391,1/1/2003,1
2004,Minas Gerais,Outubro,2.736,1/1/2004,91
2005,Minas Gerais,Outubro,6.546,1/1/2005,19
2006,Minas Gerais,Outubro,616,1/1/2006,18
2007,Minas Gerais,Outubro,3.467,1/1/2007,29
2008,Minas Gerais,Outubro,3.787,1/1/2008,71
2009,Minas Gerais,Outubro,1.013,1/1/2009,26
2010,Minas Gerais,Outubro,2.048,1/1/2010,95
2011,Minas Gerais,Outubro,1.206,1/1/2011,53
2012,Minas Gerais,Outubro,3.97,1/1/2012,31
2013,Minas Gerais,Outubro,1.221,1/1/2013,39
2014,Minas Gerais,Outubro,4.735,1/1/2014,9
2015,Minas Gerais,Outubro,3.708,1/1/2015,57
2016,Minas Gerais,Outubro,948,1/1/2016,39
2017,Minas Gerais,Outubro,3.062,1/1/2017,8
1998,Minas Gerais,Novembro,32,1/1/1998,96
1999,Minas Gerais,Novembro,271,1/1/1999,76
2000,Minas Gerais,Novembro,43,1/1/2000,39
2001,Minas Gerais,Novembro,62,1/1/2001,37
2002,Minas Gerais,Novembro,417,1/1/2002,100
2003,Minas Gerais,Novembro,399,1/1/2003,45
2004,Minas Gerais,Novembro,914,1/1/2004,34
2005,Minas Gerais,Novembro,422,1/1/2005,52
2006,Minas Gerais,Novembro,59,1/1/2006,59
2007,Minas Gerais,Novembro,1.305,1/1/2007,52
2008,Minas Gerais,Novembro,892,1/1/2008,53
2009,Minas Gerais,Novembro,246,1/1/2009,73
2010,Minas Gerais,Novembro,82,1/1/2010,62
2011,Minas Gerais,Novembro,153,1/1/2011,77
2012,Minas Gerais,Novembro,220,1/1/2012,13
2013,Minas Gerais,Novembro,277,1/1/2013,62
2014,Minas Gerais,Novembro,398,1/1/2014,95
2015,Minas Gerais,Novembro,1.453,1/1/2015,91
2016,Minas Gerais,Novembro,126,1/1/2016,19
2017,Minas Gerais,Novembro,136,1/1/2017,74
1998,Minas Gerais,Dezembro,21,1/1/1998,56
1999,Minas Gerais,Dezembro,32,1/1/1999,32
2000,Minas Gerais,Dezembro,14,1/1/2000,88
2001,Minas Gerais,Dezembro,44,1/1/2001,64
2002,Minas Gerais,Dezembro,225,1/1/2002,74
2003,Minas Gerais,Dezembro,225,1/1/2003,77
2004,Minas Gerais,Dezembro,125,1/1/2004,66
2005,Minas Gerais,Dezembro,65,1/1/2005,35
2006,Minas Gerais,Dezembro,32,1/1/2006,27
2007,Minas Gerais,Dezembro,95,1/1/2007,80
2008,Minas Gerais,Dezembro,25,1/1/2008,35
2009,Minas Gerais,Dezembro,108,1/1/2009,30
2010,Minas Gerais,Dezembro,105,1/1/2010,57
2011,Minas Gerais,Dezembro,43,1/1/2011,95
2012,Minas Gerais,Dezembro,189,1/1/2012,64
2013,Minas Gerais,Dezembro,98,1/1/2013,71
2014,Minas Gerais,Dezembro,155,1/1/2014,6
2015,Minas Gerais,Dezembro,295,1/1/2015,76
2016,Minas Gerais,Dezembro,91,1/1/2016,84
1998,pará,Janeiro,0,1/1/1998,88
1999,pará,Janeiro,87,1/1/1999,23
2000,pará,Janeiro,30,1/1/2000,16
2001,pará,Janeiro,34,1/1/2001,34
2002,pará,Janeiro,144,1/1/2002,53
2003,pará,Janeiro,,1/1/2003,11
2004,pará,Janeiro,579,1/1/2004,1
2005,pará,Janeiro,1.768,1/1/2005,58
2006,pará,Janeiro,403,1/1/2006,72
2007,pará,Janeiro,467,1/1/2007,57
2008,pará,Janeiro,131,1/1/2008,79
2009,pará,Janeiro,241,1/1/2009,100
2010,pará,Janeiro,437,1/1/2010,15
2011,pará,Janeiro,108,1/1/2011,20
2012,pará,Janeiro,392,1/1/2012,15
2013,pará,Janeiro,167,1/1/2013,51
2014,pará,Janeiro,251,1/1/2014,82
2015,pará,Janeiro,725,1/1/2015,62
2016,pará,Janeiro,1.322,1/1/2016,27
2017,pará,Janeiro,219,1/1/2017,32
1998,pará,Fevereiro,0,1/1/1998,82
1999,pará,Fevereiro,285,1/1/1999,64
2000,pará,Fevereiro,29,1/1/2000,32
2001,pará,Fevereiro,16,1/1/2001,73
2002,pará,Fevereiro,120,1/1/2002,29
2003,pará,Fevereiro,34,1/1/2003,97
2004,pará,Fevereiro,20,1/1/2004,93
2005,pará,Fevereiro,85,1/1/2005,12
2006,pará,Fevereiro,49,1/1/2006,16
2007,pará,Fevereiro,23,1/1/2007,19
2008,pará,Fevereiro,54,1/1/2008,61
2009,pará,Fevereiro,15,1/1/2009,93
2010,pará,Fevereiro,102,1/1/2010,59
2011,pará,Fevereiro,13,1/1/2011,97
2012,pará,Fevereiro,63,1/1/2012,40
2013,pará,Fevereiro,30,1/1/2013,39
2014,pará,Fevereiro,37,1/1/2014,18
2015,pará,Fevereiro,108,1/1/2015,83
2016,pará,Fevereiro,430,1/1/2016,21
2017,pará,Fevereiro,14,1/1/2017,99
1998,pará,Março,0,1/1/1998,42
1999,pará,Março,7,1/1/1999,81
2000,pará,Março,181,1/1/2000,44
2001,pará,Março,0,1/1/2001,84
2002,pará,Março,14,1/1/2002,72
2003,pará,Março,27,1/1/2003,28
2004,pará,Março,22,1/1/2004,49
2005,pará,Março,21,1/1/2005,91
2006,pará,Março,10,1/1/2006,75
2007,pará,Março,6,1/1/2007,74
2008,pará,Março,4,1/1/2008,46
2009,pará,Março,4,1/1/2009,24
2010,pará,Março,110,1/1/2010,58
2011,pará,Março,,1/1/2011,5
2012,pará,Março,30,1/1/2012,39
2013,pará,Março,19,1/1/2013,1
2014,pará,Março,34,1/1/2014,25
2015,pará,Março,61,1/1/2015,75
2016,pará,Março,81,1/1/2016,70
2017,pará,Março,42,1/1/2017,22
1998,pará,Abril,0,1/1/1998,61
1999,pará,Abril,6,1/1/1999,71
2000,pará,Abril,40,1/1/2000,99
2001,pará,Abril,0,1/1/2001,71
2002,pará,Abril,11,1/1/2002,58
2003,pará,Abril,14,1/1/2003,41
2004,pará,Abril,23,1/1/2004,35
2005,pará,Abril,14,1/1/2005,71
2006,pará,Abril,2,1/1/2006,3
2007,pará,Abril,0,1/1/2007,16
2008,pará,Abril,7,1/1/2008,19
2009,pará,Abril,8,1/1/2009,2
2010,pará,Abril,22,1/1/2010,85
2011,pará,Abril,10,1/1/2011,42
2012,pará,Abril,11,1/1/2012,99
2013,pará,Abril,20,1/1/2013,21
2014,pará,Abril,27,1/1/2014,28
2015,pará,Abril,27,1/1/2015,75
2016,pará,Abril,66,1/1/2016,82
2017,pará,Abril,45,1/1/2017,26
1998,pará,Maio,0,1/1/1998,12
1999,pará,Maio,4,1/1/1999,60
2000,pará,Maio,12,1/1/2000,52
2001,pará,Maio,7,1/1/2001,44
2002,pará,Maio,18,1/1/2002,78
2003,pará,Maio,3,1/1/2003,94
2004,pará,Maio,44,1/1/2004,98
2005,pará,Maio,37,1/1/2005,3
2006,pará,Maio,0,1/1/2006,45
2007,pará,Maio,,1/1/2007,5
2008,pará,Maio,0,1/1/2008,68
2009,pará,Maio,7,1/1/2009,63
2010,pará,Maio,57,1/1/2010,2
2011,pará,Maio,16,1/1/2011,27
2012,pará,Maio,59,1/1/2012,78
2013,pará,Maio,42,1/1/2013,98
2014,pará,Maio,70,1/1/2014,51
2015,pará,Maio,95,1/1/2015,70
2016,pará,Maio,154,1/1/2016,75
2017,pará,Maio,114,1/1/2017,20
1998,pará,Junho,58,1/1/1998,85
1999,pará,Junho,37,1/1/1999,41
2000,pará,Junho,59,1/1/2000,27
2001,pará,Junho,42,1/1/2001,52
2002,pará,Junho,149,1/1/2002,91
2003,pará,Junho,64,1/1/2003,49
2004,pará,Junho,340,1/1/2004,94
2005,pará,Junho,304,1/1/2005,79
2006,pará,Junho,78,1/1/2006,68
2007,pará,Junho,129,1/1/2007,10
2008,pará,Junho,48,1/1/2008,46
2009,pará,Junho,38,1/1/2009,31
2010,pará,Junho,94,1/1/2010,29
2011,pará,Junho,105,1/1/2011,96
2012,pará,Junho,183,1/1/2012,61
2013,pará,Junho,173,1/1/2013,50
2014,pará,Junho,319,1/1/2014,73
2015,pará,Junho,265,1/1/2015,65
2016,pará,Junho,502,1/1/2016,19
2017,pará,Junho,679,1/1/2017,63
1998,pará,Julho,638,1/1/1998,6
1999,pará,Julho,,1/1/1999,11
2000,pará,Julho,426,1/1/2000,37
2001,pará,Julho,708,1/1/2001,92
2002,pará,Julho,772,1/1/2002,19
2003,pará,Julho,1.571,1/1/2003,93
2004,pará,Julho,4.436,1/1/2004,1
2005,pará,Julho,4.364,1/1/2005,100
2006,pará,Julho,615,1/1/2006,41
2007,pará,Julho,,1/1/2007,5
2008,pará,Julho,971,1/1/2008,25
2009,pará,Julho,397,1/1/2009,41
2010,pará,Julho,1.432,1/1/2010,15
2011,pará,Julho,632,1/1/2011,37
2012,pará,Julho,661,1/1/2012,52
2013,pará,Julho,447,1/1/2013,52
2014,pará,Julho,825,1/1/2014,41
2015,pará,Julho,906,1/1/2015,90
2016,pará,Julho,1.579,1/1/2016,73
2017,pará,Julho,4.985,1/1/2017,47
1998,pará,Agosto,6.815,1/1/1998,25
1999,pará,Agosto,6.178,1/1/1999,9
2000,pará,Agosto,5.484,1/1/2000,27
2001,pará,Agosto,9.043,1/1/2001,73
2002,pará,Agosto,15.664,1/1/2002,53
2003,pará,Agosto,6.255,1/1/2003,44
2004,pará,Agosto,12.812,1/1/2004,45
2005,pará,Agosto,13.055,1/1/2005,58
2006,pará,Agosto,7.575,1/1/2006,55
2007,pará,Agosto,14.352,1/1/2007,72
2008,pará,Agosto,4.435,1/1/2008,17
2009,pará,Agosto,3.859,1/1/2009,64
2010,pará,Agosto,18.13,1/1/2010,14
2011,pará,Agosto,2.195,1/1/2011,39
2012,pará,Agosto,6.964,1/1/2012,1
2013,pará,Agosto,2.161,1/1/2013,74
2014,pará,Agosto,8.555,1/1/2014,41
2015,pará,Agosto,7.913,1/1/2015,71
2016,pará,Agosto,4.863,1/1/2016,67
2017,pará,Agosto,11.962,1/1/2017,89
1998,pará,Setembro,6.237,1/1/1998,20
1999,pará,Setembro,4.419,1/1/1999,25
2000,pará,Setembro,2.569,1/1/2000,91
2001,pará,Setembro,6.139,1/1/2001,96
2002,pará,Setembro,5.609,1/1/2002,20
2003,pará,Setembro,8.447,1/1/2003,94
2004,pará,Setembro,9.471,1/1/2004,15
2005,pará,Setembro,9.032,1/1/2005,82
2006,pará,Setembro,8.372,1/1/2006,18
2007,pará,Setembro,14.59,1/1/2007,83
2008,pará,Setembro,6.294,1/1/2008,20
2009,pará,Setembro,6.051,1/1/2009,15
2010,pará,Setembro,10.81,1/1/2010,68
2011,pará,Setembro,5.185,1/1/2011,33
2012,pará,Setembro,6.87,1/1/2012,14
2013,pará,Setembro,3.36,1/1/2013,17
2014,pará,Setembro,6.787,1/1/2014,75
2015,pará,Setembro,11.068,1/1/2015,94
2016,pará,Setembro,3.953,1/1/2016,18
2017,pará,Setembro,25.004,1/1/2017,58
1998,pará,Outubro,3.665,1/1/1998,62
1999,pará,Outubro,5.026,1/1/1999,17
2000,pará,Outubro,4.313,1/1/2000,56
2001,pará,Outubro,5.096,1/1/2001,84
2002,pará,Outubro,5.189,1/1/2002,45
2003,pará,Outubro,3.803,1/1/2003,53
2004,pará,Outubro,4.726,1/1/2004,93
2005,pará,Outubro,5.083,1/1/2005,0
2006,pará,Outubro,5.964,1/1/2006,83
2007,pará,Outubro,2.504,1/1/2007,3
2008,pará,Outubro,6.653,1/1/2008,9
2009,pará,Outubro,6.342,1/1/2009,32
2010,pará,Outubro,3.843,1/1/2010,8
2011,pará,Outubro,3.141,1/1/2011,21
2012,pará,Outubro,3.714,1/1/2012,100
2013,pará,Outubro,4.921,1/1/2013,24
2014,pará,Outubro,6.448,1/1/2014,19
2015,pará,Outubro,7.781,1/1/2015,70
2016,pará,Outubro,5.281,1/1/2016,99
2017,pará,Outubro,7.628,1/1/2017,33
1998,pará,Novembro,1.861,1/1/1998,74
1999,pará,Novembro,2.682,1/1/1999,84
2000,pará,Novembro,3.366,1/1/2000,33
2001,pará,Novembro,4.938,1/1/2001,70
2002,pará,Novembro,7.996,1/1/2002,86
2003,pará,Novembro,6.195,1/1/2003,53
2004,pará,Novembro,9.842,1/1/2004,39
2005,pará,Novembro,4.968,1/1/2005,65
2006,pará,Novembro,2.883,1/1/2006,28
2007,pará,Novembro,2.89,1/1/2007,33
2008,pará,Novembro,2.403,1/1/2008,51
2009,pará,Novembro,10.012,1/1/2009,38
2010,pará,Novembro,4.417,1/1/2010,98
2011,pará,Novembro,3.043,1/1/2011,35
2012,pará,Novembro,6.156,1/1/2012,95
2013,pará,Novembro,3.688,1/1/2013,10
2014,pará,Novembro,7.767,1/1/2014,14
2015,pará,Novembro,9.643,1/1/2015,63
2016,pará,Novembro,7.879,1/1/2016,50
2017,pará,Novembro,9.079,1/1/2017,65
1998,pará,Dezembro,1.008,1/1/1998,83
1999,pará,Dezembro,766,1/1/1999,69
2000,pará,Dezembro,1.698,1/1/2000,65
2001,pará,Dezembro,2.564,1/1/2001,80
2002,pará,Dezembro,3.118,1/1/2002,44
2003,pará,Dezembro,4.787,1/1/2003,87
2004,pará,Dezembro,5.508,1/1/2004,23
2005,pará,Dezembro,1.495,1/1/2005,1
2006,pará,Dezembro,1.417,1/1/2006,15
2007,pará,Dezembro,689,1/1/2007,43
2008,pará,Dezembro,684,1/1/2008,36
2009,pará,Dezembro,2.832,1/1/2009,12
2010,pará,Dezembro,1.612,1/1/2010,58
2011,pará,Dezembro,3.218,1/1/2011,89
2012,pará,Dezembro,1.812,1/1/2012,83
2013,pará,Dezembro,5.514,1/1/2013,85
2014,pará,Dezembro,4.828,1/1/2014,97
2015,pará,Dezembro,6.61,1/1/2015,83
2016,pará,Dezembro,3.3,1/1/2016,55
1998,Paraiba,Janeiro,0,1/1/1998,64
1999,Paraiba,Janeiro,26,1/1/1999,23
2000,Paraiba,Janeiro,0,1/1/2000,83
2001,Paraiba,Janeiro,11,1/1/2001,31
2002,Paraiba,Janeiro,5,1/1/2002,47
2003,Paraiba,Janeiro,70,1/1/2003,84
2004,Paraiba,Janeiro,33,1/1/2004,31
2005,Paraiba,Janeiro,178,1/1/2005,91
2006,Paraiba,Janeiro,83,1/1/2006,97
2007,Paraiba,Janeiro,69,1/1/2007,85
2008,Paraiba,Janeiro,77,1/1/2008,27
2009,Paraiba,Janeiro,115,1/1/2009,72
2010,Paraiba,Janeiro,46,1/1/2010,85
2011,Paraiba,Janeiro,11,1/1/2011,51
2012,Paraiba,Janeiro,61,1/1/2012,85
2013,Paraiba,Janeiro,38,1/1/2013,72
2014,Paraiba,Janeiro,75,1/1/2014,30
2015,Paraiba,Janeiro,42,1/1/2015,59
2016,Paraiba,Janeiro,18,1/1/2016,35
2017,Paraiba,Janeiro,23,1/1/2017,12
1998,Paraiba,Fevereiro,0,1/1/1998,33
1999,Paraiba,Fevereiro,2,1/1/1999,53
2000,Paraiba,Fevereiro,11,1/1/2000,31
2001,Paraiba,Fevereiro,6,1/1/2001,15
2002,Paraiba,Fevereiro,18,1/1/2002,50
2003,Paraiba,Fevereiro,3,1/1/2003,45
2004,Paraiba,Fevereiro,3,1/1/2004,1
2005,Paraiba,Fevereiro,15,1/1/2005,12
2006,Paraiba,Fevereiro,7,1/1/2006,8
2007,Paraiba,Fevereiro,7,1/1/2007,67
2008,Paraiba,Fevereiro,20,1/1/2008,35
2009,Paraiba,Fevereiro,9,1/1/2009,18
2010,Paraiba,Fevereiro,15,1/1/2010,94
2011,Paraiba,Fevereiro,5,1/1/2011,39
2012,Paraiba,Fevereiro,15,1/1/2012,91
2013,Paraiba,Fevereiro,9,1/1/2013,70
2014,Paraiba,Fevereiro,6,1/1/2014,28
2015,Paraiba,Fevereiro,15,1/1/2015,96
2016,Paraiba,Fevereiro,4,1/1/2016,92
2017,Paraiba,Fevereiro,8,1/1/2017,31
1998,Paraiba,Março,0,1/1/1998,77
1999,Paraiba,Março,1,1/1/1999,95
2000,Paraiba,Março,,1/1/2000,11
2001,Paraiba,Março,0,1/1/2001,26
2002,Paraiba,Março,3,1/1/2002,26
2003,Paraiba,Março,0,1/1/2003,80
2004,Paraiba,Março,3,1/1/2004,15
2005,Paraiba,Março,13,1/1/2005,34
2006,Paraiba,Março,4,1/1/2006,72
2007,Paraiba,Março,1,1/1/2007,49
2008,Paraiba,Março,8,1/1/2008,82
2009,Paraiba,Março,2,1/1/2009,97
2010,Paraiba,Março,16,1/1/2010,82
2011,Paraiba,Março,6,1/1/2011,0
2012,Paraiba,Março,4,1/1/2012,88
2013,Paraiba,Março,3,1/1/2013,73
2014,Paraiba,Março,18,1/1/2014,38
2015,Paraiba,Março,7,1/1/2015,28
2016,Paraiba,Março,1,1/1/2016,21
2017,Paraiba,Março,2,1/1/2017,30
1998,Paraiba,Abril,0,1/1/1998,63
1999,Paraiba,Abril,,1/1/1999,11
2000,Paraiba,Abril,1,1/1/2000,29
2001,Paraiba,Abril,0,1/1/2001,27
2002,Paraiba,Abril,1,1/1/2002,57
2003,Paraiba,Abril,0,1/1/2003,90
2004,Paraiba,Abril,3,1/1/2004,80
2005,Paraiba,Abril,2,1/1/2005,97
2006,Paraiba,Abril,0,1/1/2006,42
2007,Paraiba,Abril,0,1/1/2007,82
2008,Paraiba,Abril,0,1/1/2008,14
2009,Paraiba,Abril,1,1/1/2009,51
2010,Paraiba,Abril,2,1/1/2010,6
2011,Paraiba,Abril,2,1/1/2011,97
2012,Paraiba,Abril,13,1/1/2012,4
2013,Paraiba,Abril,6,1/1/2013,62
2014,Paraiba,Abril,8,1/1/2014,82
2015,Paraiba,Abril,11,1/1/2015,77
2016,Paraiba,Abril,1,1/1/2016,41
2017,Paraiba,Abril,1,1/1/2017,17
1998,Paraiba,Maio,0,1/1/1998,74
1999,Paraiba,Maio,0,1/1/1999,97
2000,Paraiba,Maio,0,1/1/2000,49
2001,Paraiba,Maio,4,1/1/2001,38
2002,Paraiba,Maio,1,1/1/2002,41
2003,Paraiba,Maio,0,1/1/2003,60
2004,Paraiba,Maio,1,1/1/2004,15
2005,Paraiba,Maio,0,1/1/2005,28
2006,Paraiba,Maio,0,1/1/2006,8
2007,Paraiba,Maio,0,1/1/2007,19
2008,Paraiba,Maio,0,1/1/2008,8
2009,Paraiba,Maio,0,1/1/2009,30
2010,Paraiba,Maio,10,1/1/2010,72
2011,Paraiba,Maio,0,1/1/2011,8
2012,Paraiba,Maio,10,1/1/2012,10
2013,Paraiba,Maio,3,1/1/2013,40
2014,Paraiba,Maio,1,1/1/2014,39
2015,Paraiba,Maio,6,1/1/2015,88
2016,Paraiba,Maio,1,1/1/2016,29
2017,Paraiba,Maio,1,1/1/2017,28
1998,Paraiba,Junho,3,1/1/1998,26
1999,Paraiba,Junho,1,1/1/1999,81
2000,Paraiba,Junho,2,1/1/2000,75
2001,Paraiba,Junho,0,1/1/2001,36
2002,Paraiba,Junho,1,1/1/2002,71
2003,Paraiba,Junho,0,1/1/2003,58
2004,Paraiba,Junho,0,1/1/2004,64
2005,Paraiba,Junho,0,1/1/2005,60
2006,Paraiba,Junho,0,1/1/2006,32
2007,Paraiba,Junho,0,1/1/2007,93
2008,Paraiba,Junho,0,1/1/2008,65
2009,Paraiba,Junho,0,1/1/2009,91
2010,Paraiba,Junho,3,1/1/2010,34
2011,Paraiba,Junho,2,1/1/2011,81
2012,Paraiba,Junho,5,1/1/2012,40
2013,Paraiba,Junho,3,1/1/2013,16
2014,Paraiba,Junho,1,1/1/2014,83
2015,Paraiba,Junho,0,1/1/2015,44
2016,Paraiba,Junho,4,1/1/2016,94
2017,Paraiba,Junho,0,1/1/2017,32
1998,Paraiba,Julho,0,1/1/1998,92
1999,Paraiba,Julho,1,1/1/1999,36
2000,Paraiba,Julho,0,1/1/2000,7
2001,Paraiba,Julho,8,1/1/2001,10
2002,Paraiba,Julho,8,1/1/2002,40
2003,Paraiba,Julho,6,1/1/2003,66
2004,Paraiba,Julho,1,1/1/2004,50
2005,Paraiba,Julho,,1/1/2005,5
2006,Paraiba,Julho,1,1/1/2006,32
2007,Paraiba,Julho,1,1/1/2007,91
2008,Paraiba,Julho,0,1/1/2008,99
2009,Paraiba,Julho,3,1/1/2009,63
2010,Paraiba,Julho,7,1/1/2010,56
2011,Paraiba,Julho,6,1/1/2011,42
2012,Paraiba,Julho,5,1/1/2012,73
2013,Paraiba,Julho,1,1/1/2013,54
2014,Paraiba,Julho,9,1/1/2014,28
2015,Paraiba,Julho,3,1/1/2015,32
2016,Paraiba,Julho,22,1/1/2016,77
2017,Paraiba,Julho,2,1/1/2017,18
1998,Paraiba,Agosto,3,1/1/1998,1
1999,Paraiba,Agosto,4,1/1/1999,10
2000,Paraiba,Agosto,7,1/1/2000,38
2001,Paraiba,Agosto,34,1/1/2001,96
2002,Paraiba,Agosto,38,1/1/2002,31
2003,Paraiba,Agosto,14,1/1/2003,14
2004,Paraiba,Agosto,18,1/1/2004,78
2005,Paraiba,Agosto,0,1/1/2005,41
2006,Paraiba,Agosto,3,1/1/2006,45
2007,Paraiba,Agosto,8,1/1/2007,100
2008,Paraiba,Agosto,1,1/1/2008,13
2009,Paraiba,Agosto,4,1/1/2009,18
2010,Paraiba,Agosto,9,1/1/2010,12
2011,Paraiba,Agosto,12,1/1/2011,1
2012,Paraiba,Agosto,13,1/1/2012,45
2013,Paraiba,Agosto,3,1/1/2013,74
2014,Paraiba,Agosto,30,1/1/2014,73
2015,Paraiba,Agosto,5,1/1/2015,91
2016,Paraiba,Agosto,50,1/1/2016,100
2017,Paraiba,Agosto,3,1/1/2017,16
1998,Paraiba,Setembro,50,1/1/1998,75
1999,Paraiba,Setembro,14,1/1/1999,60
2000,Paraiba,Setembro,9,1/1/2000,9
2001,Paraiba,Setembro,98,1/1/2001,17
2002,Paraiba,Setembro,63,1/1/2002,62
2003,Paraiba,Setembro,81,1/1/2003,53
2004,Paraiba,Setembro,34,1/1/2004,55
2005,Paraiba,Setembro,13,1/1/2005,30
2006,Paraiba,Setembro,27,1/1/2006,17
2007,Paraiba,Setembro,22,1/1/2007,31
2008,Paraiba,Setembro,21,1/1/2008,20
2009,Paraiba,Setembro,28,1/1/2009,62
2010,Paraiba,Setembro,37,1/1/2010,97
2011,Paraiba,Setembro,55,1/1/2011,36
2012,Paraiba,Setembro,71,1/1/2012,89
2013,Paraiba,Setembro,25,1/1/2013,79
2014,Paraiba,Setembro,51,1/1/2014,53
2015,Paraiba,Setembro,48,1/1/2015,72
2016,Paraiba,Setembro,131,1/1/2016,79
2017,Paraiba,Setembro,30,1/1/2017,63
1998,Paraiba,Outubro,179,1/1/1998,91
1999,Paraiba,Outubro,48,1/1/1999,81
2000,Paraiba,Outubro,125,1/1/2000,25
2001,Paraiba,Outubro,279,1/1/2001,37
2002,Paraiba,Outubro,193,1/1/2002,78
2003,Paraiba,Outubro,381,1/1/2003,83
2004,Paraiba,Outubro,190,1/1/2004,47
2005,Paraiba,Outubro,155,1/1/2005,17
2006,Paraiba,Outubro,,1/1/2006,5
2007,Paraiba,Outubro,111,1/1/2007,2
2008,Paraiba,Outubro,80,1/1/2008,72
2009,Paraiba,Outubro,117,1/1/2009,64
2010,Paraiba,Outubro,150,1/1/2010,87
2011,Paraiba,Outubro,200,1/1/2011,81
2012,Paraiba,Outubro,136,1/1/2012,34
2013,Paraiba,Outubro,58,1/1/2013,7
2014,Paraiba,Outubro,70,1/1/2014,98
2015,Paraiba,Outubro,121,1/1/2015,53
2016,Paraiba,Outubro,304,1/1/2016,23
2017,Paraiba,Outubro,123,1/1/2017,90
1998,Paraiba,Novembro,46,1/1/1998,27
1999,Paraiba,Novembro,38,1/1/1999,48
2000,Paraiba,Novembro,65,1/1/2000,9
2001,Paraiba,Novembro,294,1/1/2001,27
